 Lista de Imóveis da Caixa;;Data de geração:;07/08/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
8,78771E+12;SP ;ARACATUBA ;JARDIM PAULISTA ;RUA GOULART, N. 399, Apto 403, BL 16 4 PAVIMENTO ;77.043,32;133.000,00;42.08;Não;Apartamento, 83.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709268746
8,44442E+12;SP ;ARACATUBA ;RESIDENCIAL AGUA BRANCA ;RUA AUREA DE OLIVEIRA DOS SANTOS, N. SN, LT 35 QD S ;40.663,74;70.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421831880
8,78771E+12;SP ;ARACATUBA ;PAQUERE ;RUA JOSE LUIZ MENDEZ, N. 112, LT 31 QD C ;83.135,75;142.000,00;41.46;Não;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712709235
8,78771E+12;SP ;ARACATUBA ;ESTRADA FAUSE CHADE ;ESTRADA VICINAL FAUSE CHADE, N. 455, Apto 401, BL 01 ;87.526,72;149.500,00;41.46;Não;Apartamento, 105.55 de área total, 39.30 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713761745
8,7877E+12;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 300, Apto 304, BL. 20 ;83.796,41;143.128,44;41.46;Não;Apartamento, 87.78 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701853585
8,78771E+12;SP ;ARACATUBA ;JARDIM PAULISTA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 402, BL 18, VG 168 ;83.135,75;142.000,00;41.46;Não;Apartamento, 83.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709102023
8,78771E+12;SP ;ARACATUBA ;JARDIM PAULISTA ;ESTRADA VIVINAL FAUSE CHADE, N. 399, Apto 102, BL 18 ;84.892,14;145.000,00;41.46;Não;Apartamento, 72.61 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714880136
8,78772E+12;SP ;ARACATUBA ;FAZENDA DO ESTADO ;ESTRADA FAUSE CHADE, N. 455, Apto 304, BL 10, VG 95 ;84.892,14;145.000,00;41.46;Não;Apartamento, 105.55 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716058581
8,78772E+12;SP ;ARACATUBA ;CHACARAS TV ;RUA NOEL ROSA, N. 719, Apto 303, BL 05, VG 28 ;86.063,06;147.000,00;41.46;Não;Apartamento, 84.65 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716113256
8,78772E+12;SP ;ARACATUBA ;PARQUE INDUSTRIAL ANTONIO XAVIER COUTO ;RUA PASTOR JOSE FERREIRA DE FREITAS, N. 1191, LT 16, QD 35 ;87.819,45;150.000,00;41.46;Não;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787721765967
8,78772E+12;SP ;ARACATUBA ;RESIDENCIAL SYLVIO JOSE VENTUROLLI ;RUA TEREZA DE JESUS PUGINA SILVA, N. SN, LT 20 QD 03 CS 91 ;84.892,14;145.000,00;41.46;Não;Casa, 44.82 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715276208
