 Lista de Imóveis da Caixa;;Data de geração:;07/08/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
10207580;SP ;MIGUELOPOLIS ;CENTRO ;RUA JOSÉ FRANCISCO PEIXOTO, N. 1415 ;421.435,63;986.000,00;57.26;Não;Galpão, 0.00 de área total, 273.10 de área privativa, 285.20 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10207580
8,44444E+12;SP ;MIGUELOPOLIS ;CENTRO ; RUA PEDRO CRISTINO DA SILVA, N. 1405, ;97.280,80;164.160,80;40.75;Não;Casa, 62.60 de área total, 62.60 de área privativa, 137.50 de área do terreno,  1 qto(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436056802
8,44441E+12;SP ;MIRANDOPOLIS ;JARDIM AEROPORTO I ;RUA BANDEIRANTES, N. 636, LT 7, QD G ;62.856,87;110.000,00;42.86;Não;Casa, 53.53 de área total, 53.53 de área privativa, 275.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413993397
1,44442E+12;SP ;MIRASSOL ;SETLIFE MIRASSOL ;RUA PROJETADA 15, N. S/N, LT 12 QD 12 ;556.866,56;960.000,00;42.00;Não;Casa, 0.00 de área total, 138.45 de área privativa, 253.00 de área do terreno, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419697171
8,78772E+12;SP ;MIRASSOL ;JARDIM LAGUNA ;RUA JOAO PAULO II, N. 29-69, Apto 301, BL 11 ;114.838,57;190.000,00;39.56;Não;Apartamento, 86.50 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715775182
8,78772E+12;SP ;MIRASSOL ;JARDIM GIRASSOL ;RUA ALBERTO CARLOS SOUSA LIMA, N. 442, LT 34 QD 06 ;120.882,70;200.000,00;39.56;Não;Casa, 48.13 de área total, 48.13 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720755615
8,78772E+12;SP ;MOCOCA ;PARQUE DOS MANACAS I ;RUA JOAO VECCHIO, N. 90, CS 68 ;146.235,71;174.000,00;15.96;Não;Casa, 155.56 de área total, 44.01 de área privativa, 88.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719663354
8,78772E+12;SP ;MOCOCA ;PARQUE DOS MANACAS I ;RUA JOÃO VICENZO, N. 90, CASA 28, CONDOMÍNIO ALEA MOCOCA - HIS ;181.240,80;174.000,00;0.00;Não;Casa, 156.45 de área total, 92.61 de área privativa, 92.61 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717296303
8,78772E+12;SP ;MOCOCA ;PARQUE DOS MANACAS I ;RUA JOAO VECCHIO, N. 90, CS 136 ;190.761,64;180.000,00;0.00;Não;Casa, 199.75 de área total, 44.01 de área privativa, 199.75 de área do terreno,  2 qto(s), a.serv, WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787721229151
8,78772E+12;SP ;MOCOCA ;PARQUE DOS MANACAS I ;RUA JOÃO VECCHIO, N. 90, CASA 99, HIS ;190.932,19;174.000,00;0.00;Não;Casa, 155.56 de área total, 44.01 de área privativa, 88.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720013236
8,78772E+12;SP ;MOCOCA ;PARQUE DOS MANACAS I ;RUA JOÃO VICENZO, N. 90, CS Nº 142 - CONDOMÍNIO ALEA MOCOCA - H ;190.607,80;164.000,00;0.00;Não;Casa, 199.75 de área total, 88.20 de área privativa, 110.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787721593180
1,44442E+12;SP ;MOGI DAS CRUZES ;JARDIM SAO PEDRO ;AVENIDA NILO MARCATTO (ESTRADA SANTA CATARINA), N. 2135, LT 17 QD AD ;380.476,64;597.000,00;36.27;Sim;Casa, 164.70 de área total, 60.00 de área privativa, 367.50 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419100655
1,44442E+12;SP ;MOGI DAS CRUZES ;COLINAS DO PARATEHY ;RUA ROUXINOL, N. SN,  QD 15, LT11, RUA 10 ;959.158,02;1.505.000,00;36.27;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1399.65 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423190515
8,78772E+12;SP ;MOGI DAS CRUZES ;VILA SAO PAULO ;ESTRADA IMPERIAL, N. 300, Apto 203, PAV 2 BLOCO 7 ;186.155,76;238.542,05;21.97;Não;Apartamento, 105.82 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716057127
1,44442E+12;SP ;MOGI DAS CRUZES ;JARDIM MARICA ;AVENIDA EZELINIO DA CUNHA GLORIA ANTIGA RUA 02, N. 706, Apto 24, BL 706C ACESSO LXV ;207.000,00;207.000,00;0.00;Não;Apartamento, 68.73 de área total, 45.69 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422488804
1,44441E+12;SP ;MOGI DAS CRUZES ;JARDIM LAYR ;RUA CAMBUCI, N. 156, CASA 02, VAGA 09 ;258.000,00;258.000,00;0.00;Não;Casa, 136.50 de área total, 72.20 de área privativa, 55.95 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444411930721
8,78771E+12;SP ;MOGI DAS CRUZES ;VILA BRASILEIRA ;RUA ONOFRICO DERENCIO, N. 647, Apto 21A, BLOCO 3 - 2º PAVIMENTO ;228.000,00;228.000,00;0.00;Não;Apartamento, 89.66 de área total, 42.31 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713350389
8,78771E+12;SP ;MOGI DAS CRUZES ;VILA BRASILEIRA ;RUA ONOFRICO DERENCIO, N. 647, Apto 33A, BL 3 ;220.000,00;220.000,00;0.00;Não;Apartamento, 88.83 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713352055
8,44443E+12;SP ;MOGI DAS CRUZES ;VILA NOSSA APARECID ;AVENIDA MAJOR MELO, N. 960, CS 11 ;282.679,84;275.000,00;0.00;Não;Casa, 161.28 de área total, 69.56 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431346373
10173321;SP ;MOGI GUACU ;PARQUE CIDADE NOVA ;AVENIDA JULIO XAVIER DA SILVA, N. S/N, QD 38 LT 04 UN 491 NOVA CIDADE MOGI GU ;648.652,82;1.110.926,97;41.62;Não;Galpão, 0.00 de área total, 334.93 de área privativa, 370.00 de área do terreno, a.serv, WC.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10173321
8,44444E+12;SP ;MOGI GUACU ;JARDIM IPE IV ;AVENIDA BANDEIRANTES, N. 2801, Apto 31, BL J ;94.815,14;160.000,00;40.75;Não;Apartamento, 97.48 de área total, 44.89 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436420636
8,44444E+12;SP ;MOGI GUACU ;JARDIM SAKAIDA ;RUA GERALDA BARBOSA LOPES, N. SN, LT 09 QD 07 ;96.592,92;163.000,00;40.75;Não;Casa, 66.80 de área total, 66.80 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444438159358
1,44442E+12;SP ;MOGI GUACU ;VILA RESIDENCIAL MOACIR GUZONI ;ESTRADA MUNICIP JOAQUINA MARIA DE ARRUDA, N. 900, Apto 21, BL 36 ;65.607,95;110.000,00;40.36;Não;Apartamento, 46.42 de área total, 44.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423680407
8,78772E+12;SP ;MOGI GUACU ;JARDIM ESPLANADA ;AVENIDA SUECIA, N. 3160, Apto 907, TR 04 ;153.076,13;250.000,00;38.77;Não;Apartamento, 101.20 de área total, 44.35 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716949044
10295142;SP ;MOGI GUACU ;JARDIM CAMARGO ;AVENIDA SYNÉSIO RAMOS, N. 719, Apto 102 ;414.891,61;651.000,00;36.27;Sim;Apartamento, 0.00 de área total, 114.26 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10295142
8,78771E+12;SP ;MOGI GUACU ;JARDIM HORIZONTE ;AVENIDA HONORIO ORLANDO MARTINI, N. 3595, CS 131 QD H ;196.952,03;196.952,03;0.00;Não;Casa, 113.67 de área total, 50.96 de área privativa, 107.92 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710120137
8,78771E+12;SP ;MOGI GUACU ;CENTRO ;RUA ANGELO INACIO DE ALMEIDA, N. 230, LT 08 QD J ;230.000,00;230.000,00;0.00;Não;Casa, 49.60 de área total, 49.60 de área privativa, 200.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709137137
8,44442E+12;SP ;MOGI GUACU ;DESMEMBRAMENTO IMOVEL ITACOLOMY ;RUA ALVARO SANTO DONEGA, N. 36, FRAÇÃO D LT 06 DA ÁREA C ;270.000,00;270.000,00;0.00;Não;Casa, 95.00 de área total, 52.92 de área privativa, 135.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422954730
1,7877E+12;SP ;MOGI GUACU ;JARDIM ESPLANADA ;AVENIDA SUECIA, N. 3150, Apto 1503, TORRE 01 ;281.260,78;266.500,00;0.00;Não;Apartamento, 99.78 de área total, 52.09 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701964095
8,78772E+12;SP ;MOGI GUACU ;PARQUE SAO CAMILO ;RUA MARLI APARECIDA LEME, N. 430, Apto 05, TÉRREO, BLOCO 6 ;201.825,91;180.000,00;0.00;Não;Apartamento, 0.00 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718622611
8,44444E+12;SP ;MOGI GUACU ;JARDIM SAKAIDA ;RUA OSWALDO OLIVEIRA DE JESUS, N. 281, Nº 31 QUADRA 13 ;321.133,50;286.000,00;0.00;Não;Casa, 66.80 de área total, 66.80 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437593941
8,78772E+12;SP ;MOGI MIRIM ;NIAS VEREADOR ANTONIO CARLOS GUARNIERI ;RUA JOSE MARIO BARROS MILANO, N. 11, Apto 301, BL 11 ;100.741,08;170.000,00;40.75;Não;Apartamento, 49.28 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715675935
1,44441E+12;SP ;MOGI MIRIM ;JARDIM REGINA ;RUA EDERALDO QUEIROZ TELLES JUNIOR, N. 242, LT 13 QD C ;106.320,33;172.149,57;38.24;Não;Casa, 84.75 de área total, 84.75 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408874972
1,05755E+12;SP ;MOGI MIRIM ;JARDIM ITAPEMA ;RUA RENATO MARTINS, N. 236, QD B LT 15 ;180.359,95;283.000,00;36.27;Não;Casa, 0.00 de área total, 147.18 de área privativa, 305.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1057550226272
8,78771E+12;SP ;MOGI MIRIM ;JARDIM EUROPA ;RODOVIA ELZIO MARIOTONI, N. 150, Apto 403, BL 17 ;170.000,00;170.000,00;0.00;Não;Apartamento, 112.76 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708460120
10309110;SP ;MOGI MIRIM ;PARAISO DA CACHOEIRA ;RUA GAMA, N. 85, QD B  LT 06 ;1.205.000,00;1.205.000,00;0.00;Sim;Casa, 0.00 de área total, 261.13 de área privativa, 5425.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10309110
8,44443E+12;SP ;MONGAGUA ;PARQUE DAS OLIVEIRAS ; RUA AMAZONAS, N. 32, CS 10 LT 09 ;103.465,80;199.000,00;48.01;Sim;Casa, 40.46 de área total, 37.12 de área privativa, 58.58 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430913649
1,4444E+12;SP ;MONGAGUA ;BALNEARIO ITAOCA ;RUA MARCELO BATISTA, N. 157, LT 18 QD 28 ;159.000,00;265.000,00;40.00;Não;Casa, 0.00 de área total, 107.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402785307
8,21581E+12;SP ;MONGAGUA ;ITAOCA ;RUA GERALDO DE ASSIS, N. 440, QD 55 LT 11 ;108.000,00;180.000,00;40.00;Não;Casa, 53.90 de área total, 53.90 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8215808989892
8,55551E+12;SP ;MONGAGUA ;VILA N SRA DE FATIMA ;RUA SANTA IZABEL, N. 556, LT 10 QD 22 ;157.362,26;257.000,00;38.77;Sim;Casa, 52.68 de área total, 52.68 de área privativa, 175.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555507696720
8,4444E+12;SP ;MONGAGUA ;AGENOR DE CAMPOS ;RUA JOSE FERRABRAZ COSTA, N. 1050, LT 10 QD 15 ;147.565,38;241.000,00;38.77;Não;Casa, 86.25 de área total, 86.25 de área privativa, 137.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400079551
1,4444E+12;SP ;MONGAGUA ;AGENOR DE CAMPOS ;AVENIDA AGENOR DE CAMPOS, N. 255, QD 03, LT 01 ;348.610,92;547.000,00;36.27;Sim;Casa, 222.20 de área total, 94.25 de área privativa, 285.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401876139
1,44442E+12;SP ;MONGAGUA ;VILA ATLANTICA ;AVENIDA WASHINGTON LUIZ, N. 876, LT 11 QD 121 ;162.515,15;255.000,00;36.27;Não;Casa, 118.18 de área total, 118.18 de área privativa, 235.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417383358
8,44441E+12;SP ;MONGAGUA ;FLORIDA MIRIM ;RUA DA PRATA, N. 468, CS 02, P-LT06 QD S ;217.324,18;341.000,00;36.27;Sim;Casa, 87.75 de área total, 87.75 de área privativa, 138.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412731836
8,55551E+12;SP ;MONGAGUA ;BALN PLATAFORMA II ;AV MIGUEL MUNHOZ BONILHA, N. 613, PARTE LT 13, QD 14 ;182.146,17;182.146,17;0.00;Não;Casa, 0.00 de área total, 71.68 de área privativa, 149.93 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555506584391
8,44443E+12;SP ;MONGAGUA ;JUSSARA ;AVENIDA SENADOR FEIJO, N. 2384, LT 19 QD 14 ;273.187,76;259.000,00;0.00;Não;Casa, 60.00 de área total, 60.00 de área privativa, 126.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444434636364
8,44441E+12;SP ;MONGAGUA ;JARDIM PRAIA GRANDE ; RUA PADRE  MANOEL DA NOBREGA, N. 1240, LOTE 07 QUADRA T ;148.508,32;78.091,24;0.00;Não;Prédio, 0.00 de área total, 77.30 de área privativa, 137.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408476347
8,44443E+12;SP ;MONTE ALTO ;JARDIM VERA CRUZ ; RUA ANA DE SOUZA CALLEGARI, N. 370, LT 11 QD 17 ;106.667,03;180.000,00;40.75;Não;Casa, 48.80 de área total, 48.80 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425179754
8,44443E+12;SP ;MONTE ALTO ;JARDIM BELA VISTA DO MIRANTE ; RUA YOSHIO TOKIMATSU, N. 201, LT 376 QD 13 ;114.838,57;190.000,00;39.56;Não;Casa, 98.90 de área total, 98.90 de área privativa, 125.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444434185273
8,44442E+12;SP ;MONTE ALTO ;JARDIM ALVORADA ;RUA DOUTOR ULYSSES DE PAULA EDUARDO, N. 100, LT 22 QD A ;134.485,25;196.000,00;31.39;Não;Casa, 41.80 de área total, 41.80 de área privativa, 316.40 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424938813
8,55553E+12;SP ;MONTE ALTO ;JARDIM DAS OLIVEIRAS ;RUA ANDREA DE CASSIA DONA DE LIMA, N. 61, LT 55 QD 14 ;278.000,00;278.000,00;0.00;Não;Casa, 84.57 de área total, 45.47 de área privativa, 166.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555531868705
8,44442E+12;SP ;MONTE ALTO ;JARDIM VERA CRUZ ;RUA BENEDITO TERCINI, N. 620, LT 06 LT 07 QD 13 ;183.000,00;183.000,00;0.00;Não;Casa, 53.48 de área total, 53.48 de área privativa, 133.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423043057
1,44442E+12;SP ;MONTE APRAZIVEL ;CENTRO ; RUA JOSE DIAS DA SILVA, N. 152, LT 06 QD B ;332.471,32;605.000,00;45.05;Sim;Casa, 192.59 de área total, 192.59 de área privativa, 224.13 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), 1 lavabo(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415411460
8,44444E+12;SP ;MONTE APRAZIVEL ;VILLA FLORA ;RUA PROJETADA 01, N. 351, LT 33 QD E ;167.347,57;158.000,00;0.00;Não;Casa, 0.00 de área total, 42.74 de área privativa, 161.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444438013809
8,78771E+12;SP ;MONTE MOR ;RESIDENCIAL PARQUE DO CAFE II ;RUA MARLENE CORDEIRO DOS SANTOS, N. 250, Apto 05, TR 3 ;114.838,57;190.000,00;39.56;Não;Apartamento, 129.90 de área total, 47.73 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714796402
8,78771E+12;SP ;MONTE MOR ;TERRA PRETA ;AVENIDA MAGAL, N. 1800, Apto 207, TORRE 02 ;225.000,00;225.000,00;0.00;Não;Apartamento, 44.00 de área total, 41.47 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705297547
8,78772E+12;SP ;MORRO AGUDO ;MORRO AGUDO ;RUA AUGUSTO CEZAR MAZZA (ANTIGA RUA 7), N. 86, LT 22 QD 27 ;107.259,62;181.000,00;40.75;Não;Casa, 45.63 de área total, 45.63 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718874530
8,78772E+12;SP ;MORRO AGUDO ;RESIDENCIAL ALFREDO BENEDETTI ;RUA LAIR FRANZONI, N. 67, 00, ;105.481,84;178.000,00;40.75;Não;Casa, 45.63 de área total, 45.63 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718084407
8,78772E+12;SP ;MORRO AGUDO ;RESIDENCIAL ALFREDO BENEDETTI ;RUA DORCELINO DE FIGUEIREDO, N. 66, LT 21 QD 26 ;98.963,30;167.000,00;40.75;Não;Casa, 45.63 de área total, 45.63 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718084423
8,78772E+12;SP ;MORRO AGUDO ;RESIDENCIAL ALFREDO BENEDETTI ;RUA AUGUSTO CEZAR MAZZA, N. 116, LT 25 QD 27 RUA 07 ;99.555,89;168.000,00;40.75;Não;Casa, 45.63 de área total, 45.63 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718662311
8,78772E+12;SP ;MORRO AGUDO ;RESIDENCIAL ALFREDO BENEDETTI ;RUA DORCELINO DE FIGUEIREDO, N. 76, ;111.816,50;185.000,00;39.56;Não;Casa, 45.63 de área total, 45.63 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718128005
8,78772E+12;SP ;MORRO AGUDO ;RESIDENCIAL ALFREDO BENEDETTI ;RUA ADEVAIR BENEDETTI, N. 69, LT 02 QD 29 ;117.860,63;195.000,00;39.56;Não;Casa, 45.63 de área total, 45.63 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718519780
8,78772E+12;SP ;MORRO AGUDO ;RESIDENCIAL ALFREDO BENEDETTI ;RUA ALCIDES ANTONIO, N. 180, LOTE 03 QUADRA 09 ;110.705,42;183.161,72;39.56;Não;Casa, 45.63 de área total, 45.63 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718660807
